Functional Loc,FLOC Type,Description,SupFunctLoc,SupFL Description,ABC Indic,Criticality Justification,PSRef,PSRef2,NEW PS Ref.,NEW PS Ref. 2,NL SCE
F3FA-C-CMMR-CENRAD-C9604B,U_MISC,Power Supply,F3FA-C-CMMR-CENRAD,VHF / UHF Radios,I,SCE Results in Agreement,F3-PS10,,SECE09,,I
F3FA-C-CMMR-CENRAD-C9611A,U_MISC,UHF Base Station,F3FA-C-CMMR-CENRAD,VHF / UHF Radios,I,SCE Results in Agreement,F3-PS10,,SECE09,,I
F3FA-C-CMMR-CENRAD-C9611B,U_MISC,AC/DC Convertor,F3FA-C-CMMR-CENRAD,VHF / UHF Radios,I,SCE Results in Agreement,F3-PS10,,SECE09,,I
F3FA-C-CMMR-CENRAD-ICMT505,U_MISC,"VHF Radio, Fast Rescue Boat",F3FA-C-CMMR-CENRAD,VHF / UHF Radios,I,SCE Results in Agreement,F3-PS10,,SECE09,,I
F3FA-C-CMMR-CENRAD-RT2048,U_MISC,"VHF Radio, Free Fall Lifeboat",F3FA-C-CMMR-CENRAD,VHF / UHF Radios,I,SCE Results in Agreement,F3-PS10,,SECE09,,I
F3FA-C-CMMR-FLD,U_FLOC,VHF Field equipment,F3FA-C-CMMR,VHF Radio System,I,Inherited from System 'F3FA-C-CMMR' Analysed Criticality Result,F3-PS10,,SECE09,,I
F3FA-C-CMMR-FLDANT,U_FLOC,Radio Antennas,F3FA-C-CMMR-FLD,VHF Field equipment,I,Inherited from System 'F3FA-C-CMMR' Analysed Criticality Result,F3-PS10,,SECE09,,I
F3FA-C-CMMR-FLDANT-96ANT0011,U_MISC,VHF Aerial,F3FA-C-CMMR-FLDANT,Radio Antennas,I,SCE Identification,F3-PS10,,SECE09,,I
F3FA-C-CMMR-FLDANT-96ANT0012,U_MISC,DSC Aerial,F3FA-C-CMMR-FLDANT,Radio Antennas,I,SCE Identification,F3-PS10,,SECE09,,I
F3FA-C-CMMR-FLDANT-96ANT0021,U_MISC,VHF/AM Aerial,F3FA-C-CMMR-FLDANT,Radio Antennas,I,SCE Identification,F3-PS10,,SECE09,,I
F3FA-C-CMMR-FLDANT-96ANT0031,U_MISC,TX Aerial,F3FA-C-CMMR-FLDANT,Radio Antennas,I,SCE Identification,F3-PS10,,SECE09,,I
F3FA-C-CMMR-FLDANT-96ANT0032,U_MISC,DSC Aerial,F3FA-C-CMMR-FLDANT,Radio Antennas,I,SCE Identification,F3-PS10,,SECE09,,I
F3FA-C-CMMR-FLDANT-96ANT0041,U_MISC,Iridium Aerial,F3FA-C-CMMR-FLDANT,Radio Antennas,I,SCE Identification,F3-PS10,,SECE09,,I
F3FA-C-CMMR-FLDANT-96ANT0101,U_MISC,VHF Aerial,F3FA-C-CMMR-FLDANT,Radio Antennas,I,SCE Identification,F3-PS10,,SECE09,,I
F3FA-C-CMMR-FLDANT-96ANT0111,U_MISC,UHF Aerial,F3FA-C-CMMR-FLDANT,Radio Antennas,I,SCE Identification,F3-PS10,,SECE09,,I
F3FA-C-CMMR-FLDANT-96ANT0141,U_MISC,"VHF Aerial, Crane",F3FA-C-CMMR-FLDANT,Radio Antennas,I,SCE Identification,F3-PS10,,SECE09,,I
F3FA-C-CMMR-FLDANT-96ANT0142,U_MISC,"UHF Aerial, Crane",F3FA-C-CMMR-FLDANT,Radio Antennas,I,SCE Identification,F3-PS10,,SECE09,,I
F3FA-C-CMMR-FLDJBX,U_J_BOX,"Radio, Junction Boxes",F3FA-C-CMMR-FLD,VHF Field equipment,I,Agreed to be SCE-I review meeting 23/1/17,F3-PS10,,SECE09,,I
F3FA-C-CMMR-FLDJBX-C9603C,U_J_BOX,Telecom Junction Box,F3FA-C-CMMR-FLDJBX,"Radio, Junction Boxes",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMMR-FLDJBX-JB9601,U_J_BOX,"Telecom Junction Box, LQ",F3FA-C-CMMR-FLDJBX,"Radio, Junction Boxes",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMMR-FLDJBX-JBANT0111,U_J_BOX,Telecom Junction Box,F3FA-C-CMMR-FLDJBX,"Radio, Junction Boxes",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA,U_FLOC,Public Announcement System,F3FA-C-CM,Communication Systems,I,System Analysed Criticality Result,F3-PS10,,SECE09,,I
F3FA-C-CMPA-CEN,U_FLOC,PA Central Equipment,F3FA-C-CMPA,Public Announcement System,I,Inherited from System 'F3FA-C-CMPA' Analysed Criticality Result,F3-PS10,,SECE09,,I
F3FA-C-CMPA-CENPNL,U_FLOC,PA Panels,F3FA-C-CMPA-CEN,PA Central Equipment,I,Inherited from System 'F3FA-C-CMPA' Analysed Criticality Result,F3-PS10,,SECE09,,I
F3FA-C-CMPA-CENPNL-JC9801,U_BOARD_SW,PA System Cabinet,F3FA-C-CMPA-CENPNL,PA Panels,I,SCE Results in Agreement,F3-PS10,,SECE09,,I
F3FA-C-CMPA-FLD,U_CL,"PA, Field equipment",F3FA-C-CMPA,Public Announcement System,I,Inherited from System 'F3FA-C-CMPA' Analysed Criticality Result,F3-PS10,,SECE09,,I
F3FA-C-CMPA-FLDCS1,U_SPEAKER,"PA, Call Stations",F3FA-C-CMPA-FLD,"PA, Field equipment",I,Inherited from System 'F3FA-C-CMPA' Analysed Criticality Result,F3-PS10,,SECE09,,I
F3FA-C-CMPA-FLDCS1-98CS1210,U_SPEAKER,"PA, Call Station",F3FA-C-CMPA-FLDCS1,"PA, Call Stations",I,SCE Results in Agreement,F3-PS10,,SECE09,,I
F3FA-C-CMPA-FLDCS1-98CS2203,U_SPEAKER,"PA, Call Station",F3FA-C-CMPA-FLDCS1,"PA, Call Stations",I,SCE Results in Agreement,F3-PS10,,SECE09,,I
F3FA-C-CMPA-FLDCS1-98CS2204,U_SPEAKER,"PA, Call Station",F3FA-C-CMPA-FLDCS1,"PA, Call Stations",I,SCE Results in Agreement,F3-PS10,,SECE09,,I
F3FA-C-CMPA-FLDJB0,U_J_BOX,PA Junction Boxes Marshalling,F3FA-C-CMPA-FLD,"PA, Field equipment",I,Agreed to be SCE-I review meeting 23/1/17,F3-PS10,,SECE09,,I
F3FA-C-CMPA-FLDJB0-JBFAG915,U_J_BOX,"PA, Junction Box, Loop A",F3FA-C-CMPA-FLDJB0,PA Junction Boxes Marshalling,N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB0-JBFAG927-2,U_J_BOX,"PA, Junction Box, Control Room B",F3FA-C-CMPA-FLDJB0,PA Junction Boxes Marshalling,N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB0-JBFAG929-8,U_J_BOX,"PA, Junction Box, Control Room A",F3FA-C-CMPA-FLDJB0,PA Junction Boxes Marshalling,N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB0-JBFAG945,U_J_BOX,"PA, Junction Box, Loop B",F3FA-C-CMPA-FLDJB0,PA Junction Boxes Marshalling,N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB0-JBFAG946,U_J_BOX,"PA, Junction Box, LQ A",F3FA-C-CMPA-FLDJB0,PA Junction Boxes Marshalling,N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB0-JBFAG947,U_J_BOX,"PA, Junction Box, LQ B",F3FA-C-CMPA-FLDJB0,PA Junction Boxes Marshalling,N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB1,U_J_BOX,"PA, Junction Boxes, Loop A1",F3FA-C-CMPA-FLD,"PA, Field equipment",I,Agreed to be SCE-I review meeting 23/1/17,F3-PS10,,SECE09,,I
F3FA-C-CMPA-FLDJB1-JBFAG919-1,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB1,"PA, Junction Boxes, Loop A1",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB1-JBFAG919-2,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB1,"PA, Junction Boxes, Loop A1",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB1-JBFAG919-3,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB1,"PA, Junction Boxes, Loop A1",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB1-JBFAG919-5,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB1,"PA, Junction Boxes, Loop A1",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB1-JBFAG920-1,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB1,"PA, Junction Boxes, Loop A1",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB1-JBFAG920-2,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB1,"PA, Junction Boxes, Loop A1",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB1-JBFAG920-2A,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB1,"PA, Junction Boxes, Loop A1",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB1-JBFAG920-3,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB1,"PA, Junction Boxes, Loop A1",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB1-JBFAG920-4,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB1,"PA, Junction Boxes, Loop A1",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB1-JBFAG920-5,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB1,"PA, Junction Boxes, Loop A1",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB2,U_J_BOX,"PA, Junction Boxes, Loop A2",F3FA-C-CMPA-FLD,"PA, Field equipment",I,Agreed to be SCE-I review meeting 23/1/17,F3-PS10,,SECE09,,I
F3FA-C-CMPA-FLDJB2-JBFAG929-1,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB2,"PA, Junction Boxes, Loop A2",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB2-JBFAG929-10,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB2,"PA, Junction Boxes, Loop A2",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB2-JBFAG929-11,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB2,"PA, Junction Boxes, Loop A2",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB2-JBFAG929-2,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB2,"PA, Junction Boxes, Loop A2",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB2-JBFAG929-3,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB2,"PA, Junction Boxes, Loop A2",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB2-JBFAG929-4,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB2,"PA, Junction Boxes, Loop A2",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB2-JBFAG929-5,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB2,"PA, Junction Boxes, Loop A2",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB2-JBFAG929-6,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB2,"PA, Junction Boxes, Loop A2",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB2-JBFAG929-7,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB2,"PA, Junction Boxes, Loop A2",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB2-JBFAG929-9,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB2,"PA, Junction Boxes, Loop A2",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB3,U_J_BOX,"PA, Junction Boxes, Loop A3",F3FA-C-CMPA-FLD,"PA, Field equipment",I,Agreed to be SCE-I review meeting 23/1/17,F3-PS10,,SECE09,,I
F3FA-C-CMPA-FLDJB3-JBFAG950-2,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB3,"PA, Junction Boxes, Loop A3",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB3-JBFAG950-3,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB3,"PA, Junction Boxes, Loop A3",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB3-JBFAG950-4,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB3,"PA, Junction Boxes, Loop A3",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB3-JBFAG950-5,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB3,"PA, Junction Boxes, Loop A3",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB3-JBFAG950-6,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB3,"PA, Junction Boxes, Loop A3",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB4,U_J_BOX,"PA, Junction Boxes, Loop A4",F3FA-C-CMPA-FLD,"PA, Field equipment",I,Agreed to be SCE-I review meeting 23/1/17,F3-PS10,,SECE09,,I
F3FA-C-CMPA-FLDJB4-JBFAG960-3,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB4,"PA, Junction Boxes, Loop A4",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB4-JBFAG960-4,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB4,"PA, Junction Boxes, Loop A4",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB4-JBFAG969,U_J_BOX,"PA, Junction Box, Rig Interface",F3FA-C-CMPA-FLDJB4,"PA, Junction Boxes, Loop A4",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB4-JBFAG970-1,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB4,"PA, Junction Boxes, Loop A4",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB4-JBFAG970-2,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB4,"PA, Junction Boxes, Loop A4",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB4-JBFAG970-3,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB4,"PA, Junction Boxes, Loop A4",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB4-JBFAG970-4,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB4,"PA, Junction Boxes, Loop A4",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB4-JBFAG970-5,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB4,"PA, Junction Boxes, Loop A4",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB4-JBFAG980-1,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB4,"PA, Junction Boxes, Loop A4",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB5,U_J_BOX,"PA, Junction Boxes, LQ A",F3FA-C-CMPA-FLD,"PA, Field equipment",I,Agreed to be SCE-I review meeting 23/1/17,F3-PS10,,SECE09,,I
F3FA-C-CMPA-FLDJB5-JBFAG950-1,U_J_BOX,"PA, Junction Box, Musterstation",F3FA-C-CMPA-FLDJB5,"PA, Junction Boxes, LQ A",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB6,U_J_BOX,"PA, Junction Boxes, Loop B1",F3FA-C-CMPA-FLD,"PA, Field equipment",I,Agreed to be SCE-I review meeting 23/1/17,F3-PS10,,SECE09,,I
F3FA-C-CMPA-FLDJB6-JBFAG917-1,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB6,"PA, Junction Boxes, Loop B1",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB6-JBFAG917-10,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB6,"PA, Junction Boxes, Loop B1",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB6-JBFAG917-2,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB6,"PA, Junction Boxes, Loop B1",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB6-JBFAG917-3,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB6,"PA, Junction Boxes, Loop B1",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB6-JBFAG917-4,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB6,"PA, Junction Boxes, Loop B1",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB6-JBFAG917-5,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB6,"PA, Junction Boxes, Loop B1",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB6-JBFAG917-6,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB6,"PA, Junction Boxes, Loop B1",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB6-JBFAG917-7,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB6,"PA, Junction Boxes, Loop B1",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB6-JBFAG917-8,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB6,"PA, Junction Boxes, Loop B1",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB6-JBFAG917-9,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB6,"PA, Junction Boxes, Loop B1",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB7,U_J_BOX,"PA, Junction Boxes, Loop B2",F3FA-C-CMPA-FLD,"PA, Field equipment",I,Agreed to be SCE-I review meeting 23/1/17,F3-PS10,,SECE09,,I
F3FA-C-CMPA-FLDJB7-JBFAG927-1,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB7,"PA, Junction Boxes, Loop B2",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB7-JBFAG927-10,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB7,"PA, Junction Boxes, Loop B2",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB7-JBFAG927-3,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB7,"PA, Junction Boxes, Loop B2",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB7-JBFAG927-4,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB7,"PA, Junction Boxes, Loop B2",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB7-JBFAG927-4A,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB7,"PA, Junction Boxes, Loop B2",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB7-JBFAG927-5,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB7,"PA, Junction Boxes, Loop B2",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB7-JBFAG927-6,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB7,"PA, Junction Boxes, Loop B2",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB7-JBFAG927-7,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB7,"PA, Junction Boxes, Loop B2",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB7-JBFAG927-8,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB7,"PA, Junction Boxes, Loop B2",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB8,U_J_BOX,"PA, Junction Boxes, Loop B3",F3FA-C-CMPA-FLD,"PA, Field equipment",I,Agreed to be SCE-I review meeting 23/1/17,F3-PS10,,SECE09,,I
F3FA-C-CMPA-FLDJB8-JBFAG948-2,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB8,"PA, Junction Boxes, Loop B3",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB8-JBFAG948-3,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB8,"PA, Junction Boxes, Loop B3",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB8-JBFAG948-4,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB8,"PA, Junction Boxes, Loop B3",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB8-JBFAG948-5,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB8,"PA, Junction Boxes, Loop B3",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB8-JBFAG948-6,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB8,"PA, Junction Boxes, Loop B3",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB8-JBFAG948-7,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB8,"PA, Junction Boxes, Loop B3",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB9,U_J_BOX,"PA, Junction Boxes, Loop B4",F3FA-C-CMPA-FLD,"PA, Field equipment",I,Agreed to be SCE-I review meeting 23/1/17,F3-PS10,,SECE09,,I
F3FA-C-CMPA-FLDJB9-JBFAG959-1,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB9,"PA, Junction Boxes, Loop B4",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB9-JBFAG959-2,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB9,"PA, Junction Boxes, Loop B4",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB9-JBFAG969,U_J_BOX,"PA, Junction Box, Rig Interface",F3FA-C-CMPA-FLDJB9,"PA, Junction Boxes, Loop B4",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB9-JBFAG969-1,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB9,"PA, Junction Boxes, Loop B4",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB9-JBFAG969-2,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB9,"PA, Junction Boxes, Loop B4",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB9-JBFAG969-3,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB9,"PA, Junction Boxes, Loop B4",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB9-JBFAG969-5,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB9,"PA, Junction Boxes, Loop B4",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJB9-JBFAG979-1,U_J_BOX,"PA, Junction Box",F3FA-C-CMPA-FLDJB9,"PA, Junction Boxes, Loop B4",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDJBA,U_J_BOX,"PA, Junction Boxes, LQ B",F3FA-C-CMPA-FLD,"PA, Field equipment",I,Agreed to be SCE-I review meeting 23/1/17,F3-PS10,,SECE09,,I
F3FA-C-CMPA-FLDJBA-JBFAG948-1,U_J_BOX,"PA, Junction Box, Musterstation",F3FA-C-CMPA-FLDJBA,"PA, Junction Boxes, LQ B",N,Fall outside PS boudaries ,,,,,N
F3FA-C-CMPA-FLDLS0,U_SPEAKER,"PA, Loudspeakers, Control Room",F3FA-C-CMPA-FLD,"PA, Field equipment",I,Inherited from System 'F3FA-C-CMPA' Analysed Criticality Result,F3-PS10,,SECE09,,I
F3FA-C-CMPA-FLDLS0-98LS1203,U_SPEAKER,"PA, Loudspeaker, Control Room A",F3FA-C-CMPA-FLDLS0,"PA, Loudspeakers, Control Room",I,SCE Results in Agreement,F3-PS10,,SECE09,,I
F3FA-C-CMPA-FLDLS0-98LS1204,U_SPEAKER,"PA, Loudspeaker, Control Room B",F3FA-C-CMPA-FLDLS0,"PA, Loudspeakers, Control Room",I,SCE Results in Agreement,F3-PS10,,SECE09,,I
F3FA-C-CMPA-FLDLS1,U_SPEAKER,"PA, Loudspeakers, Loop A1",F3FA-C-CMPA-FLD,"PA, Field equipment",I,Inherited from System 'F3FA-C-CMPA' Analysed Criticality Result,F3-PS10,,SECE09,,I
F3FA-C-CMPA-FLDLS1-98LS0202,U_SPEAKER,"PA, Loudspeaker",F3FA-C-CMPA-FLDLS1,"PA, Loudspeakers, Loop A1",I,SCE Results in Agreement,F3-PS10,,SECE09,,I
F3FA-C-CMPA-FLDLS1-98LS0203,U_SPEAKER,"PA, Loudspeaker",F3FA-C-CMPA-FLDLS1,"PA, Loudspeakers, Loop A1",I,SCE Results in Agreement,F3-PS10,,SECE09,,I
F3FA-C-CMPA-FLDLS1-98LS0209,U_SPEAKER,"PA, Loudspeaker",F3FA-C-CMPA-FLDLS1,"PA, Loudspeakers, Loop A1",I,SCE Results in Agreement,F3-PS10,,SECE09,,I
F3FA-C-CMPA-FLDLS1-98LS0210,U_SPEAKER,"PA, Loudspeaker",F3FA-C-CMPA-FLDLS1,"PA, Loudspeakers, Loop A1",I,SCE Results in Agreement,F3-PS10,,SECE09,,I
F3FA-C-CMPA-FLDLS1-98LS0302,U_SPEAKER,"PA, Loudspeaker",F3FA-C-CMPA-FLDLS1,"PA, Loudspeakers, Loop A1",I,SCE Results in Agreement,F3-PS10,,SECE09,,I
F3FA-C-CMPA-FLDLS1-98LS0401,U_SPEAKER,"PA, Loudspeaker",F3FA-C-CMPA-FLDLS1,"PA, Loudspeakers, Loop A1",I,SCE Results in Agreement,F3-PS10,,SECE09,,I
F3FA-C-CMPA-FLDLS1-98LS0702,U_SPEAKER,"PA, Loudspeaker",F3FA-C-CMPA-FLDLS1,"PA, Loudspeakers, Loop A1",I,SCE Results in Agreement,F3-PS10,,SECE09,,I
F3FA-C-CMPA-FLDLS1-98LS0703,U_SPEAKER,"PA, Loudspeaker",F3FA-C-CMPA-FLDLS1,"PA, Loudspeakers, Loop A1",I,SCE Results in Agreement,F3-PS10,,SECE09,,I
F3FA-C-CMPA-FLDLS1-98LS1208,U_SPEAKER,"PA, Loudspeaker",F3FA-C-CMPA-FLDLS1,"PA, Loudspeakers, Loop A1",I,SCE Results in Agreement,F3-PS10,,SECE09,,I
F3FA-C-CMPA-FLDLS1-98LS2603,U_SPEAKER,"PA, Loudspeaker",F3FA-C-CMPA-FLDLS1,"PA, Loudspeakers, Loop A1",I,SCE Results in Agreement,F3-PS10,,SECE09,,I
F3FA-C-CMPA-FLDLS2,U_SPEAKER,"PA, Loudspeakers, Loop A2",F3FA-C-CMPA-FLD,"PA, Field equipment",I,Inherited from System 'F3FA-C-CMPA' Analysed Criticality Result,F3-PS10,,SECE09,,I
F3FA-C-CMPA-FLDLS2-98LS0205,U_SPEAKER,"PA, Loudspeaker",F3FA-C-CMPA-FLDLS2,"PA, Loudspeakers, Loop A2",I,SCE Results in Agreement,F3-PS10,,SECE09,,I
F3FA-C-CMPA-FLDLS2-98LS0206,U_SPEAKER,"PA, Loudspeaker",F3FA-C-CMPA-FLDLS2,"PA, Loudspeakers, Loop A2",I,SCE Results in Agreement,F3-PS10,,SECE09,,I
